id,name,latitude,longitude,population
PAK,Pakistan,30.375321,69.345116,VLOW
PAN,Panama,8.537981,-80.782127,VLOW
PER,Peru,-9.189967,-75.015152,VLOW
PHL,Philippines,12.879721,121.774017,VLOW
PNG,Papua New Guinea,-6.314993,143.95555,VLOW
POL,Poland,51.919438,19.145136,VLOW
PRI,Puerto Rico,18.220833,-66.590149,VLOW
PRK,North Korea,40.339852,127.510093,VLOW
PRT,Portugal,39.399872,-8.224454,VLOW
PRY,Paraguay,-23.442503,-58.443832,VLOW
QAT,Qatar,25.354826,51.183884,VHIGH
ROU,Romania,45.943161,24.96676,LOW
RUS,Russian Federation,61.52401,105.318756,LOW
RWA,Rwanda,-1.940278,29.873888,VLOW
ESH,Western Sahara,24.215527,-12.885834,VLOW
SAU,Saudi Arabia,23.885942,45.079162,VHIGH
SDN,Sudan,12.862807,30.217636,VHIGH
SDS,South Sudan,12.862807,30.217636,VLOW
SEN,Senegal,14.497401,-14.452362,VLOW
SLB,Solomon Islands,-9.64571,160.156194,VLOW
SLE,Sierra Leone,8.460555,-11.779889,VLOW
SLV,El Salvador,13.794185,-88.89653,VLOW
-99,Somaliland,0,0,VLOW
SOM,Somalia,5.152149,46.199616,LOW
SRB,Serbia and Kosovo (S/RES/1244 (1999)),44.016521,21.005859,MED
SUR,Suriname,3.919305,-56.027783,VLOW
SVK,Slovakia,48.669026,19.699024,VLOW
SVN,Slovenia,46.151241,14.995463,VLOW
SWE,Sweden,60.128161,18.643501,VHIGH
SWZ,Swaziland,-26.522503,31.465866,VLOW
SYR,Syrian Arab Rep.,34.802075,38.996815,VLOW
TCD,Chad,15.454166,18.732207,VLOW
TGO,Togo,8.619543,0.824782,VLOW
THA,Thailand,15.870032,100.992541,VLOW
TJK,Tajikistan,38.861034,71.276093,VLOW
TKM,Turkmenistan,38.969719,59.556278,VLOW
TLS,East Timor,-8.874217,125.727539,VLOW
TTO,Trinidad and Tobago,10.691803,-61.222503,VLOW
TUN,Tunisia,33.886917,9.537499,LOW
TUR,Turkey,38.963745,35.243322,VHIGH
TWN,Taiwan,23.69781,120.960515,VLOW
TZA,United Rep. of Tanzania,-6.369028,34.888822,VLOW
UGA,Uganda ,1.373333,32.290275,VLOW
UKR,Ukraine ,48.379433,31.16558,VLOW
URY,Uruguay ,-32.522779,-55.765835,VLOW
USA,United States of America,37.09024,-95.712891,MED
UZB,Uzbekistan ,41.377491,64.585262,VLOW
VEN,Venezuela (Bolivarian Republic of) ,6.42375,-66.58973,VLOW
VNM,Vietnam ,14.058324,108.277199,VLOW
VUT,Vanuatu ,-15.376706,166.959158,VLOW
PSE,West Bank ,31.046051,34.851612,VLOW
YEM,Yemen ,15.552727,48.516388,VHIGH
ZAF,South Africa ,-30.559482,22.937506,VLOW
ZMB,Zambia ,-13.133897,27.849332,VLOW
ZWE,Zimbabwe ,-19.015438,29.154857,VLOW
SSD,South Sudan,,,VLOW
